Ensembl Gene ID	Ensembl Transcript ID	Gene Start (bp)	Gene End (bp)	Chromosome Name	Gene type
ENSG00000221163	ENST00000408236	45874149	45874235	13	miRNA
ENSG00000222391	ENST00000410459	49326225	49326292	13	miRNA
ENSG00000265585	ENST00000580512	49504256	49504348	13	miRNA
ENSG00000265730	ENST00000580562	26675539	26675643	18	miRNA
ENSG00000212085	ENST00000390796	26776406	26776492	18	miRNA
ENSG00000264526	ENST00000579259	50526670	50526750	13	miRNA
ENSG00000264864	ENST00000579844	50570551	50570637	13	miRNA
ENSG00000221731	ENST00000408804	27063293	27063388	18	miRNA
ENSG00000238660	ENST00000459545	26711319	26711413	21	miRNA
ENSG00000208006	ENST00000385271	50623109	50623197	13	miRNA
ENSG00000221198	ENST00000408271	50937284	50937373	13	miRNA
ENSG00000265063	ENST00000582018	29640868	29640952	18	miRNA
ENSG00000221621	ENST00000408694	30106105	30106185	18	miRNA
ENSG00000266133	ENST00000584048	28326280	28326362	21	miRNA
ENSG00000266072	ENST00000577722	51922703	51922775	13	miRNA
ENSG00000265146	ENST00000577312	54785613	54785684	HSCHR19LRC_COX2_CTG1	miRNA
ENSG00000266611	ENST00000577728	52126725	52126803	13	miRNA
ENSG00000265031	ENST00000581165	62502429	62502530	HG183_PATCH	miRNA
ENSG00000266804	ENST00000583033	62539910	62540007	HG183_PATCH	miRNA
ENSG00000265387	ENST00000584521	62578133	62578199	HG183_PATCH	miRNA
ENSG00000265492	ENST00000581629	62578574	62578673	HG183_PATCH	miRNA
ENSG00000263516	ENST00000579747	62608135	62608217	HG183_PATCH	miRNA
ENSG00000264256	ENST00000582049	41167511	41167608	15	miRNA
ENSG00000221409	ENST00000408482	32399910	32399995	18	miRNA
ENSG00000207797	ENST00000385062	33484781	33484889	18	miRNA
ENSG00000265641	ENST00000584497	33514051	33514105	18	miRNA
ENSG00000266530	ENST00000580543	35237098	35237178	18	miRNA
ENSG00000266148	ENST00000580941	37256685	37256743	18	miRNA
ENSG00000207766	ENST00000385032	41983783	41983876	15	miRNA
ENSG00000265557	ENST00000581649	21878	21950	GL000231.1	miRNA
ENSG00000264850	ENST00000582950	42158693	42158749	15	miRNA
ENSG00000221476	ENST00000408549	78330873	78330937	15	miRNA
ENSG00000211579	ENST00000390224	53384179	53384274	13	miRNA
ENSG00000220990	ENST00000408063	53941980	53942091	13	miRNA
ENSG00000207712	ENST00000384979	42491768	42491864	15	miRNA
ENSG00000239022	ENST00000459291	79406635	79406701	15	miRNA
ENSG00000266699	ENST00000584726	55380002	55380092	13	miRNA
ENSG00000264387	ENST00000583098	55748589	55748683	13	miRNA
ENSG00000207695	ENST00000384962	79502130	79502213	15	miRNA
ENSG00000266543	ENST00000581752	79631072	79631156	15	miRNA
ENSG00000265329	ENST00000577688	60907543	60907613	20	miRNA
ENSG00000212054	ENST00000390765	61026838	61026919	13	miRNA
ENSG00000266663	ENST00000578032	61773932	61774014	13	miRNA
ENSG00000212007	ENST00000390718	62334417	62334509	13	miRNA
ENSG00000199017	ENST00000362147	61151510	61151586	20	miRNA
ENSG00000207764	ENST00000347538	61162119	61162220	20	miRNA
ENSG00000265957	ENST00000577285	42550047	42550131	18	miRNA
ENSG00000221685	ENST00000408758	66438305	66438398	13	miRNA
ENSG00000263581	ENST00000579776	66540462	66540561	13	miRNA
ENSG00000263561	ENST00000581678	66792382	66792456	13	miRNA
ENSG00000207598	ENST00000384866	61809852	61809938	20	miRNA
ENSG00000266463	ENST00000579556	61870131	61870194	20	miRNA
ENSG00000266104	ENST00000582203	61918160	61918218	20	miRNA
ENSG00000263892	ENST00000578933	35608091	35608156	9	miRNA
ENSG00000216141	ENST00000401322	62550834	62550950	20	miRNA
ENSG00000263448	ENST00000582432	35811473	35811547	9	miRNA
ENSG00000216195	ENST00000401376	62551085	62551201	20	miRNA
ENSG00000215946	ENST00000401127	62551365	62551481	20	miRNA
ENSG00000272045	ENST00000607800	62572818	62572897	20	miRNA
ENSG00000207554	ENST00000384823	62573984	62574079	20	miRNA
ENSG00000211588	ENST00000390233	10342736	10342878	20	miRNA
ENSG00000266582	ENST00000584505	44906867	44906936	18	miRNA
ENSG00000266542	ENST00000583188	80873444	80873580	15	miRNA
ENSG00000208003	ENST00000385268	81134319	81134414	15	miRNA
ENSG00000266255	ENST00000580479	36823536	36823596	9	miRNA
ENSG00000265007	ENST00000581194	31747612	31747696	21	miRNA
ENSG00000264922	ENST00000583532	36864251	36864305	9	miRNA
ENSG00000266276	ENST00000584576	46196971	46197039	18	miRNA
ENSG00000265368	ENST00000577752	36893459	36893528	9	miRNA
ENSG00000265855	ENST00000581410	81289758	81289814	15	miRNA
ENSG00000220981	ENST00000408054	73425226	73425307	13	miRNA
ENSG00000216070	ENST00000401251	37296020	37296101	9	miRNA
ENSG00000265959	ENST00000581553	73698849	73698947	13	miRNA
ENSG00000221328	ENST00000408401	13936410	13936503	20	miRNA
ENSG00000212111	ENST00000390822	15539025	15539113	20	miRNA
ENSG00000222521	ENST00000410589	82336635	82336717	15	miRNA
ENSG00000221448	ENST00000408521	16390942	16391036	20	miRNA
ENSG00000266534	ENST00000579276	75783114	75783173	13	miRNA
ENSG00000263849	ENST00000581563	46576057	46576138	18	miRNA
ENSG00000221220	ENST00000408293	17823227	17823372	20	miRNA
ENSG00000264908	ENST00000579275	77460456	77460535	13	miRNA
ENSG00000221792	ENST00000408865	44085857	44085957	15	miRNA
ENSG00000251713	ENST00000515904	18150549	18150633	20	miRNA
ENSG00000266325	ENST00000578708	78272147	78272251	13	miRNA
ENSG00000265137	ENST00000584920	18451259	18451335	20	miRNA
ENSG00000221529	ENST00000408602	47927311	47927418	18	miRNA
ENSG00000264134	ENST00000578930	18526352	18526428	20	miRNA
ENSG00000264669	ENST00000584556	19106429	19106551	20	miRNA
ENSG00000263868	ENST00000580901	79239973	79240065	13	miRNA
ENSG00000221748	ENST00000408821	19321940	19322016	20	miRNA
ENSG00000216017	ENST00000401198	19570741	19570831	20	miRNA
ENSG00000239120	ENST00000459075	19715460	19715553	20	miRNA
ENSG00000264055	ENST00000581586	33524217	33524320	21	miRNA
ENSG00000264158	ENST00000583240	95290266	95290340	9	miRNA
ENSG00000238980	ENST00000401112	81778398	81778491	13	miRNA
ENSG00000266052	ENST00000579472	88270920	88270995	13	miRNA
ENSG00000223059	ENST00000411127	88840114	88840175	13	miRNA
ENSG00000266353	ENST00000584750	42579907	42579973	9	miRNA
ENSG00000207858	ENST00000385123	90883436	90883531	13	miRNA
ENSG00000221291	ENST00000408364	50463664	50463773	18	miRNA
ENSG00000263872	ENST00000577763	50763471	50763560	18	miRNA
ENSG00000266892	ENST00000581654	34836773	34836865	21	miRNA
ENSG00000221095	ENST00000408168	82769264	82769347	15	miRNA
ENSG00000263741	ENST00000579177	93142416	93142473	13	miRNA
ENSG00000221058	ENST00000408131	51612956	51613026	18	miRNA
ENSG00000264804	ENST00000579333	52668527	52668629	18	miRNA
ENSG00000254849	ENST00000524687	145449052	145449133	HG243_PATCH	miRNA
ENSG00000266624	ENST00000579254	145454989	145455068	HG243_PATCH	miRNA
ENSG00000264571	ENST00000578110	53146452	53146529	18	miRNA
ENSG00000265151	ENST00000581262	22713848	22713939	20	miRNA
ENSG00000221177	ENST00000408250	82970531	82970614	15	miRNA
ENSG00000263087	ENST00000572505	82418	82555	HG858_PATCH	miRNA
ENSG00000211519	ENST00000390185	45725248	45725327	15	miRNA
ENSG00000263259	ENST00000571400	17823227	17823372	HSCHR20_1_CTG1	miRNA
ENSG00000263875	ENST00000582353	96327975	96328082	9	miRNA
ENSG00000265347	ENST00000584984	96581639	96581703	9	miRNA
ENSG00000252500	ENST00000516691	47249731	47249815	15	miRNA
ENSG00000222311	ENST00000410379	47534401	47534476	15	miRNA
ENSG00000199165	ENST00000362295	96938234	96938325	9	miRNA
ENSG00000199072	ENST00000362202	96938629	96938715	9	miRNA
ENSG00000199133	ENST00000362263	96941116	96941202	9	miRNA
ENSG00000266636	ENST00000581316	55103053	55103112	18	miRNA
ENSG00000221202	ENST00000408275	47844672	47844768	15	miRNA
ENSG00000266143	ENST00000583682	48454002	48454100	15	miRNA
ENSG00000252153	ENST00000516344	97572244	97572339	9	miRNA
ENSG00000221319	ENST00000408392	29637162	29637300	20	miRNA
ENSG00000207563	ENST00000384832	97847490	97847586	9	miRNA
ENSG00000207864	ENST00000385129	97847727	97847823	9	miRNA
ENSG00000207617	ENST00000384885	97848296	97848376	9	miRNA
ENSG00000265200	ENST00000577323	55684016	55684116	18	miRNA
ENSG00000264395	ENST00000578262	30194989	30195043	20	miRNA
ENSG00000207778	ENST00000385044	56118306	56118390	18	miRNA
ENSG00000252330	ENST00000516521	56133495	56133559	18	miRNA
ENSG00000265736	ENST00000583886	30706457	30706554	20	miRNA
ENSG00000221667	ENST00000408740	30825598	30825650	20	miRNA
ENSG00000264308	ENST00000581364	30865503	30865591	20	miRNA
ENSG00000266007	ENST00000582110	35677430	35677493	21	miRNA
ENSG00000263856	ENST00000579962	31645394	31645476	20	miRNA
ENSG00000211590	ENST00000390235	37093013	37093106	21	miRNA
ENSG00000221517	ENST00000408590	83145848	83145931	15	miRNA
ENSG00000238638	ENST00000459322	66858537	66858612	9	miRNA
ENSG00000264898	ENST00000578257	66861461	66861543	9	miRNA
ENSG00000264616	ENST00000583905	32636925	32636996	20	miRNA
ENSG00000265285	ENST00000582107	67094933	67094999	9	miRNA
ENSG00000265601	ENST00000584771	67225386	67225452	9	miRNA
ENSG00000266697	ENST00000577648	83395302	83395385	15	miRNA
ENSG00000207997	ENST00000385262	33054130	33054223	20	miRNA
ENSG00000207635	ENST00000384903	33578179	33578300	20	miRNA
ENSG00000264888	ENST00000578222	33802392	33802492	20	miRNA
ENSG00000264770	ENST00000578480	32808498	32808565	HSCHR6_MHC_SSTO	miRNA
ENSG00000265367	ENST00000577254	98998105	98998204	9	miRNA
ENSG00000263643	ENST00000584082	83736087	83736167	15	miRNA
ENSG00000223180	ENST00000411248	84284938	84285010	15	miRNA
ENSG00000221484	ENST00000408557	84657985	84658097	15	miRNA
ENSG00000221763	ENST00000408836	34041776	34041919	20	miRNA
ENSG00000266017	ENST00000581659	68415308	68415388	9	miRNA
ENSG00000263754	ENST00000580239	68512346	68512422	9	miRNA
ENSG00000263614	ENST00000578094	68513105	68513187	9	miRNA
ENSG00000266021	ENST00000583495	68997409	68997484	9	miRNA
ENSG00000238919	ENST00000459317	69001999	69002081	9	miRNA
ENSG00000239070	ENST00000459575	69002239	69002321	9	miRNA
ENSG00000221471	ENST00000408544	57416909	57416989	18	miRNA
ENSG00000264830	ENST00000584222	32994589	32994683	HSCHR6_MHC_SSTO	miRNA
ENSG00000264681	ENST00000580681	69587378	69587444	9	miRNA
ENSG00000239028	ENST00000458761	69821760	69821841	9	miRNA
ENSG00000253011	ENST00000517202	58222376	58222457	18	miRNA
ENSG00000264210	ENST00000579628	49461267	49461350	15	miRNA
ENSG00000265441	ENST00000578418	35374459	35374533	20	miRNA
ENSG00000221597	ENST00000408670	1176	1259	GL000199.1	miRNA
ENSG00000239867	ENST00000492089	4722	4804	GL000199.1	miRNA
ENSG00000264109	ENST00000583750	50652526	50652607	15	miRNA
ENSG00000264867	ENST00000577274	33321904	33321964	HSCHR6_MHC_SSTO	miRNA
ENSG00000221008	ENST00000408081	84873268	84873351	15	miRNA
ENSG00000221247	ENST00000408320	84949877	84949960	15	miRNA
ENSG00000264757	ENST00000583102	18246946	18247025	22	miRNA
ENSG00000266593	ENST00000582691	51534387	51534461	15	miRNA
ENSG00000266851	ENST00000580944	32751469	32751536	HSCHR6_MHC_MCF	miRNA
ENSG00000263437	ENST00000583261	51901894	51901963	15	miRNA
ENSG00000266320	ENST00000579518	35731633	35731751	22	miRNA
ENSG00000207935	ENST00000385200	73424891	73425000	9	miRNA
ENSG00000266856	ENST00000578096	33545496	33545602	HSCHR6_MHC_SSTO	miRNA
ENSG00000264789	ENST00000581244	32938147	32938241	HSCHR6_MHC_MCF	miRNA
ENSG00000207780	ENST00000385046	18463634	18463727	22	miRNA
ENSG00000265034	ENST00000577742	77703258	77703331	HG748_PATCH	miRNA
ENSG00000221052	ENST00000408125	52569314	52569397	15	miRNA
ENSG00000266879	ENST00000579669	54785735	54785806	HSCHR19LRC_COX1_CTG1	miRNA
ENSG00000263646	ENST00000579985	55064665	55064736	HSCHR19LRC_COX1_CTG1	miRNA
ENSG00000265951	ENST00000582883	55141112	55141181	HSCHR19LRC_COX1_CTG1	miRNA
ENSG00000265459	ENST00000579748	33345976	33346085	HSCHR6_MHC_MCF	miRNA
ENSG00000221110	ENST00000408183	75906036	75906143	9	miRNA
ENSG00000265974	ENST00000577693	57472732	57472797	HG14_PATCH	miRNA
ENSG00000263473	ENST00000583129	37145206	37145275	20	miRNA
ENSG00000252575	ENST00000516766	36834869	36834971	22	miRNA
ENSG00000211534	ENST00000390200	37900183	37900258	20	miRNA
ENSG00000263518	ENST00000584209	38731860	38731998	20	miRNA
ENSG00000264310	ENST00000408586	78338661	78338746	9	miRNA
ENSG00000264691	ENST00000584697	39334968	39335068	21	miRNA
ENSG00000238826	ENST00000459505	78527369	78527465	9	miRNA
ENSG00000241781	ENST00000463508	79186731	79186787	9	miRNA
ENSG00000265488	ENST00000578375	79281002	79281087	9	miRNA
ENSG00000252142	ENST00000516333	37534064	37534123	22	miRNA
ENSG00000207945	ENST00000385210	38240279	38240378	22	miRNA
ENSG00000207696	ENST00000384963	38243685	38243781	22	miRNA
ENSG00000221269	ENST00000408342	100125836	100125963	9	miRNA
ENSG00000264505	ENST00000578108	38384801	38384860	22	miRNA
ENSG00000207964	ENST00000385229	55665138	55665232	15	miRNA
ENSG00000265311	ENST00000579493	38670345	38670430	22	miRNA
ENSG00000221218	ENST00000408291	56053215	56053300	15	miRNA
ENSG00000221581	ENST00000408654	83349157	83349244	9	miRNA
ENSG00000221536	ENST00000408609	64320646	64320738	18	miRNA
ENSG00000266608	ENST00000582499	100462516	100462607	9	miRNA
ENSG00000266151	ENST00000578301	43036760	43036843	20	miRNA
ENSG00000265893	ENST00000581483	43053692	43053781	20	miRNA
ENSG00000264409	ENST00000583185	64710604	64710681	18	miRNA
ENSG00000263404	ENST00000581036	84420911	84420996	9	miRNA
ENSG00000263354	ENST00000578054	64748821	64748923	18	miRNA
ENSG00000265580	ENST00000583172	64963519	64963619	18	miRNA
ENSG00000266071	ENST00000577518	44333741	44333819	20	miRNA
ENSG00000265087	ENST00000585066	19951276	19951357	22	miRNA
ENSG00000208023	ENST00000385288	20020662	20020743	22	miRNA
ENSG00000266567	ENST00000580330	20073269	20073356	22	miRNA
ENSG00000222586	ENST00000410654	57258523	57258595	15	miRNA
ENSG00000221366	ENST00000408439	20073581	20073665	22	miRNA
ENSG00000264059	ENST00000581042	68029359	68029459	18	miRNA
ENSG00000221039	ENST00000408112	20236657	20236734	22	miRNA
ENSG00000266136	ENST00000408058	45439477	45439561	20	miRNA
ENSG00000252124	ENST00000516315	40924061	40924137	22	miRNA
ENSG00000264901	ENST00000584070	45795609	45795700	20	miRNA
ENSG00000266594	ENST00000584704	41209887	41209962	22	miRNA
ENSG00000263770	ENST00000577832	45943269	45943336	20	miRNA
ENSG00000266175	ENST00000582149	41456636	41456705	22	miRNA
ENSG00000221160	ENST00000408233	41488517	41488570	22	miRNA
ENSG00000207603	ENST00000384871	86584663	86584772	9	miRNA
ENSG00000221294	ENST00000408367	46199679	46199759	20	miRNA
ENSG00000207932	ENST00000385197	42296948	42297016	22	miRNA
ENSG00000263463	ENST00000582688	42319226	42319301	22	miRNA
ENSG00000251876	ENST00000516067	47355867	47355985	20	miRNA
ENSG00000266142	ENST00000578939	30051790	30051922	HSCHR6_MHC_MANN	miRNA
ENSG00000222408	ENST00000410476	90359816	90359908	9	miRNA
ENSG00000221096	ENST00000408169	59443177	59443267	15	miRNA
ENSG00000253030	ENST00000517221	59463382	59463461	15	miRNA
ENSG00000265225	ENST00000583835	48203218	48203311	20	miRNA
ENSG00000207725	ENST00000384992	45606421	45606530	X	miRNA
ENSG00000215983	ENST00000401164	59508845	59508925	15	miRNA
ENSG00000221266	ENST00000408339	85752346	85752429	15	miRNA
ENSG00000263475	ENST00000584776	103157934	103158007	9	miRNA
ENSG00000265106	ENST00000580472	42948194	42948279	22	miRNA
ENSG00000263973	ENST00000585040	41584279	41584358	21	miRNA
ENSG00000208018	ENST00000385283	49202323	49202416	20	miRNA
ENSG00000221091	ENST00000408164	49231173	49231322	20	miRNA
ENSG00000265873	ENST00000581736	91360751	91360820	9	miRNA
ENSG00000266785	ENST00000581470	30596784	30596869	HSCHR6_MHC_MANN	miRNA
ENSG00000265473	ENST00000577377	30628681	30628757	HSCHR6_MHC_MANN	miRNA
ENSG00000265062	ENST00000582676	49477445	49477523	20	miRNA
ENSG00000265112	ENST00000580744	91927140	91927221	9	miRNA
ENSG00000265582	ENST00000584882	49555183	49555269	20	miRNA
ENSG00000264913	ENST00000582777	92112853	92112936	9	miRNA
ENSG00000263750	ENST00000583040	70520556	70520617	18	miRNA
ENSG00000263592	ENST00000580154	49794042	49794136	20	miRNA
ENSG00000263645	ENST00000516531	49993772	49993858	20	miRNA
ENSG00000266761	ENST00000582236	50069442	50069514	20	miRNA
ENSG00000272188	ENST00000607451	30903348	30903437	HSCHR6_MHC_MANN	miRNA
ENSG00000221396	ENST00000408469	41949429	41949538	21	miRNA
ENSG00000263967	ENST00000583807	92785723	92785817	9	miRNA
ENSG00000221634	ENST00000408707	86313727	86313809	15	miRNA
ENSG00000266837	ENST00000581142	44300476	44300561	22	miRNA
ENSG00000252629	ENST00000516820	51679156	51679240	20	miRNA
ENSG00000265068	ENST00000584534	104311968	104312053	9	miRNA
ENSG00000221494	ENST00000408567	83480760	83480836	X	miRNA
ENSG00000221598	ENST00000408671	45596835	45596900	22	miRNA
ENSG00000266855	ENST00000580936	94398533	94398643	9	miRNA
ENSG00000265595	ENST00000577874	52684947	52685024	20	miRNA
ENSG00000238643	ENST00000459109	17285	17399	GL000229.1	miRNA
ENSG00000264160	ENST00000585261	46156404	46156478	22	miRNA
ENSG00000222117	ENST00000410185	105057659	105057746	9	miRNA
ENSG00000221485	ENST00000408558	84477	84559	GL000194.1	miRNA
ENSG00000265610	ENST00000578136	46372758	46372834	22	miRNA
ENSG00000266418	ENST00000584593	31708300	31708362	HSCHR6_MHC_MANN	miRNA
ENSG00000223061	ENST00000411129	84813	84895	GL000194.1	miRNA
ENSG00000215977	ENST00000401158	7711019	7711113	8	miRNA
ENSG00000265283	ENST00000578976	104742	104817	GL000213.1	miRNA
ENSG00000212084	ENST00000390795	55035322	55035413	20	miRNA
ENSG00000264517	ENST00000584664	84499101	84499177	X	miRNA
ENSG00000266533	ENST00000579667	46486924	46487006	22	miRNA
ENSG00000198986	ENST00000362116	46508629	46508702	22	miRNA
ENSG00000199051	ENST00000362181	85158641	85158712	X	miRNA
ENSG00000264147	ENST00000581461	46509446	46509537	22	miRNA
ENSG00000207875	ENST00000385140	46509566	46509648	22	miRNA
ENSG00000221416	ENST00000408489	55293942	55294025	20	miRNA
ENSG00000264406	ENST00000584739	86368866	86368961	15	miRNA
ENSG00000251772	ENST00000515963	55575143	55575213	20	miRNA
ENSG00000221672	ENST00000408745	47243803	47243875	22	miRNA
ENSG00000238644	ENST00000459516	55629846	55629897	20	miRNA
ENSG00000266349	ENST00000578388	62036140	62036218	15	miRNA
ENSG00000266666	ENST00000583049	55896558	55896647	20	miRNA
ENSG00000263858	ENST00000584126	47446828	47446904	X	miRNA
ENSG00000263453	ENST00000582082	56470450	56470500	20	miRNA
ENSG00000221007	ENST00000408080	56493940	56494091	20	miRNA
ENSG00000221451	ENST00000408524	56551074	56551149	20	miRNA
ENSG00000221385	ENST00000408458	56642512	56642663	20	miRNA
ENSG00000266508	ENST00000578320	48670176	48670227	22	miRNA
ENSG00000266887	ENST00000580946	49176107	49176165	22	miRNA
ENSG00000251912	ENST00000516103	49210132	49210216	22	miRNA
ENSG00000207944	ENST00000385209	38869653	38869748	4	miRNA
ENSG00000264139	ENST00000581025	49937041	49937114	22	miRNA
ENSG00000266194	ENST00000582720	92217713	92217787	8	miRNA
ENSG00000221391	ENST00000408464	89081810	89081913	15	miRNA
ENSG00000264621	ENST00000578248	39413530	39413594	4	miRNA
ENSG00000265207	ENST00000578857	32871477	32871544	HSCHR6_MHC_MANN	miRNA
ENSG00000221630	ENST00000408703	89151338	89151428	15	miRNA
ENSG00000207703	ENST00000384970	89155056	89155165	15	miRNA
ENSG00000221174	ENST00000408247	57180140	57180283	20	miRNA
ENSG00000265866	ENST00000579958	89515632	89515683	15	miRNA
ENSG00000221463	ENST00000408536	117520357	117520434	X	miRNA
ENSG00000221141	ENST00000408214	62535565	62535647	15	miRNA
ENSG00000265075	ENST00000584551	27559190	27559284	8	miRNA
ENSG00000216031	ENST00000401212	57393281	57393368	20	miRNA
ENSG00000221172	ENST00000408245	93647563	93647693	8	miRNA
ENSG00000263681	ENST00000582241	42539484	42539556	21	miRNA
ENSG00000263903	ENST00000580214	57921434	57921535	20	miRNA
ENSG00000265847	ENST00000579398	27743556	27743633	8	miRNA
ENSG00000216171	ENST00000401352	146271222	146271305	X	miRNA
ENSG00000207871	ENST00000385136	146280562	146280645	X	miRNA
ENSG00000207873	ENST00000385138	146294981	146295109	X	miRNA
ENSG00000207984	ENST00000385249	146307344	146307470	X	miRNA
ENSG00000207731	ENST00000384998	146312238	146312361	X	miRNA
ENSG00000221122	ENST00000408195	40465733	40465820	4	miRNA
ENSG00000207969	ENST00000385234	146312502	146312595	X	miRNA
ENSG00000263642	ENST00000581881	40504057	40504136	4	miRNA
ENSG00000207589	ENST00000384857	146318431	146318545	X	miRNA
ENSG00000264366	ENST00000582504	86740882	86740963	X	miRNA
ENSG00000221305	ENST00000408378	7946463	7946611	8	miRNA
ENSG00000252583	ENST00000516774	146331669	146331748	X	miRNA
ENSG00000212013	ENST00000390724	146340278	146340368	X	miRNA
ENSG00000212014	ENST00000390725	146341170	146341244	X	miRNA
ENSG00000221027	ENST00000408100	7996350	7996453	8	miRNA
ENSG00000208000	ENST00000385265	146342050	146342143	X	miRNA
ENSG00000265317	ENST00000577415	63079006	63079093	15	miRNA
ENSG00000207641	ENST00000384909	146353853	146353926	X	miRNA
ENSG00000207802	ENST00000385067	58883532	58883625	20	miRNA
ENSG00000211137	ENST00000388402	63116156	63116240	15	miRNA
ENSG00000207868	ENST00000385133	146360765	146360862	X	miRNA
ENSG00000266140	ENST00000581943	59053169	59053239	20	miRNA
ENSG00000265251	ENST00000582598	28362633	28362699	8	miRNA
ENSG00000207866	ENST00000385131	146363461	146363548	X	miRNA
ENSG00000265617	ENST00000581228	59139620	59139683	20	miRNA
ENSG00000207867	ENST00000385132	146366159	146366246	X	miRNA
ENSG00000266600	ENST00000579999	33058507	33058601	HSCHR6_MHC_MANN	miRNA
ENSG00000221417	ENST00000408490	60528602	60528718	20	miRNA
ENSG00000264952	ENST00000580102	118558028	118558079	X	miRNA
ENSG00000265306	ENST00000585001	60639858	60639941	20	miRNA
ENSG00000264105	ENST00000583455	160049954	160050046	4	miRNA
ENSG00000216089	ENST00000401270	160216866	160216935	4	miRNA
ENSG00000211578	ENST00000390223	118780701	118780811	X	miRNA
ENSG00000221362	ENST00000408435	161925029	161925110	4	miRNA
ENSG00000266574	ENST00000583906	33329535	33329644	HSCHR6_MHC_MANN	miRNA
ENSG00000266058	ENST00000582816	42448007	42448089	4	miRNA
ENSG00000216197	ENST00000401378	43720384	43720455	21	miRNA
ENSG00000264535	ENST00000577895	164444444	164444538	4	miRNA
ENSG00000207819	ENST00000385084	89911248	89911337	15	miRNA
ENSG00000264392	ENST00000581061	119058424	119058513	X	miRNA
ENSG00000263824	ENST00000584930	56063544	56063651	HG142_HG150_NOVEL_TEST	miRNA
ENSG00000221005	ENST00000408078	89045334	89045450	X	miRNA
ENSG00000266496	ENST00000584757	44450022	44450127	4	miRNA
ENSG00000199156	ENST00000362286	64163129	64163218	15	miRNA
ENSG00000212034	ENST00000390745	29127491	29127578	8	miRNA
ENSG00000263855	ENST00000577739	94986082	94986151	8	miRNA
ENSG00000263392	ENST00000577231	29171273	29171365	8	miRNA
ENSG00000266476	ENST00000577225	29180781	29180873	8	miRNA
ENSG00000264966	ENST00000578766	90393869	90393953	15	miRNA
ENSG00000264796	ENST00000578736	90427163	90427262	15	miRNA
ENSG00000265871	ENST00000583440	90549987	90550073	15	miRNA
ENSG00000263459	ENST00000581575	110195821	110195890	9	miRNA
ENSG00000222196	ENST00000410264	101051102	101051192	4	miRNA
ENSG00000221265	ENST00000408338	102251459	102251571	4	miRNA
